Hour,GHI,DHI,Temperature,Wind Speed,IT
1.0,0.0,0.0,11.0,0.2,0.0
2.0,0.0,0.0,10.0,0.2,0.0
3.0,0.0,0.0,10.0,0.2,0.0
4.0,0.0,0.0,9.0,0.2,0.0
5.0,0.0,0.0,9.0,0.2,0.0
6.0,0.0,0.0,11.0,0.3,0.0
7.0,0.0,0.0,11.0,0.3,0.0
8.0,0.0,0.0,12.0,0.3,0.0
9.0,158.0,79.0,15.0,0.2,204.73515651047657
10.0,359.0,120.0,19.0,0.2,478.1396945355538
11.0,529.0,144.0,24.0,0.2,704.5591027870094
12.0,644.0,157.0,28.0,0.2,861.3788250253399
13.0,693.0,162.0,30.0,0.1,940.0859611978052
14.0,671.0,159.0,30.0,0.1,938.8826438862695
15.0,579.0,149.0,30.0,0.1,863.7744098855464
16.0,427.0,130.0,28.0,0.1,751.3207809093471
17.0,234.0,96.0,25.0,0.1,1706.2701728662219
18.0,26.0,26.0,22.0,0.2,24.606664199358164
19.0,0.0,0.0,21.0,0.2,0.0
20.0,0.0,0.0,20.0,0.3,0.0
21.0,0.0,0.0,19.0,0.3,0.0
22.0,0.0,0.0,18.0,0.3,0.0
23.0,0.0,0.0,17.0,0.3,0.0
24.0,0.0,0.0,16.0,0.3,0.0
25.0,0.0,0.0,15.0,0.3,0.0
26.0,0.0,0.0,15.0,0.3,0.0
27.0,0.0,0.0,14.0,0.3,0.0
28.0,0.0,0.0,13.0,0.3,0.0
29.0,0.0,0.0,13.0,0.3,0.0
30.0,0.0,0.0,13.0,0.3,0.0
31.0,0.0,0.0,12.0,0.3,0.0
32.0,0.0,0.0,13.0,0.3,0.0
33.0,157.0,79.0,16.0,0.3,202.99219049137525
34.0,333.0,129.0,20.0,0.2,432.9993119488942
35.0,509.0,145.0,25.0,0.2,674.0038934352117
36.0,611.0,169.0,29.0,0.1,806.1870037927353
37.0,682.0,163.0,30.0,0.1,922.2709182464934
38.0,667.0,159.0,31.0,0.0,931.3932328038032
39.0,576.0,149.0,30.0,0.0,856.8155092733156
40.0,425.0,130.0,28.0,0.0,743.3796232200924
41.0,234.0,96.0,25.0,0.1,1561.102427109698
42.0,29.0,28.0,22.0,0.2,2731.43481540784
43.0,0.0,0.0,21.0,0.2,0.0
44.0,0.0,0.0,20.0,0.3,0.0
45.0,0.0,0.0,19.0,0.3,0.0
46.0,0.0,0.0,18.0,0.3,0.0
47.0,0.0,0.0,17.0,0.3,0.0
48.0,0.0,0.0,16.0,0.3,0.0
49.0,0.0,0.0,16.0,0.3,0.0
50.0,0.0,0.0,15.0,0.2,0.0
51.0,0.0,0.0,14.0,0.2,0.0
52.0,0.0,0.0,14.0,0.2,0.0
53.0,0.0,0.0,13.0,0.2,0.0
54.0,0.0,0.0,13.0,0.2,0.0
55.0,0.0,0.0,12.0,0.2,0.0
56.0,0.0,0.0,13.0,0.2,0.0
57.0,156.0,79.0,17.0,0.1,201.23248236250384
58.0,358.0,120.0,21.0,0.1,475.94501519417486
59.0,529.0,144.0,26.0,0.0,703.4360552579467
60.0,647.0,157.0,29.0,0.0,864.1857288234909
61.0,698.0,162.0,30.0,0.0,945.394081319119
62.0,677.0,160.0,30.0,0.0,944.7411233623533
63.0,586.0,150.0,29.0,0.0,870.8056270042879
64.0,434.0,131.0,27.0,0.1,757.2560953239451
65.0,241.0,98.0,24.0,0.1,1489.7420469966705
66.0,31.0,29.0,21.0,0.2,8892.27080763391
67.0,0.0,0.0,20.0,0.2,0.0
68.0,0.0,0.0,19.0,0.2,0.0
69.0,0.0,0.0,18.0,0.2,0.0
70.0,0.0,0.0,17.0,0.3,0.0
